,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-15485.0
Net Income From Continuing Operation Net Minority Interest,-15485.0
EBITDA,-15485.0
EBIT,-15485.0
Normalized Income,-15485.0
Net Income From Continuing And Discontinued Operation,-15485.0
Total Expenses,15485.0
Diluted NI Availto Com Stockholders,-15485.0
Net Income Common Stockholders,-15485.0
Net Income,-15485.0
Net Income Including Noncontrolling Interests,-15485.0
Net Income Continuous Operations,-15485.0
Pretax Income,-15485.0
Operating Income,-15485.0
Operating Expense,15485.0
Selling General And Administration,15485.0
General And Administrative Expense,15485.0
Other Gand A,15485.0
Total Revenue,0.0
Operating Revenue,0.0
