,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-279370.0
Net Income From Continuing Operation Net Minority Interest,1252174.0
EBITDA,-279370.0
EBIT,-279370.0
Net Interest Income,1531544.0
Interest Income,1531544.0
Normalized Income,1252174.0
Net Income From Continuing And Discontinued Operation,1252174.0
Total Expenses,279370.0
Total Operating Income As Reported,-279370.0
Diluted NI Availto Com Stockholders,1252174.0
Net Income Common Stockholders,1252174.0
Net Income,1252174.0
Net Income Including Noncontrolling Interests,1252174.0
Net Income Continuous Operations,1252174.0
Tax Provision,0.0
Pretax Income,1252174.0
Net Non Operating Interest Income Expense,1531544.0
Interest Income Non Operating,1531544.0
Operating Income,-279370.0
Operating Expense,279370.0
Selling General And Administration,279370.0
General And Administrative Expense,279370.0
Other Gand A,279370.0
Total Revenue,0.0
Operating Revenue,0.0
