,2025-06-30
Tax Effect Of Unusual Items,54919.708029
Tax Rate For Calcs,0.087591
Normalized EBITDA,18231000.0
Total Unusual Items,627000.0
Total Unusual Items Excluding Goodwill,627000.0
Net Income From Continuing Operation Net Minority Interest,16625000.0
Reconciled Depreciation,611000.0
Reconciled Cost Of Revenue,39429000.0
EBITDA,18858000.0
EBIT,18247000.0
Net Interest Income,292000.0
Interest Expense,26000.0
Interest Income,410000.0
Normalized Income,16052919.708029
Net Income From Continuing And Discontinued Operation,16625000.0
Total Expenses,100894000.0
Total Operating Income As Reported,18639000.0
Diluted Average Shares,18519769.0
Basic Average Shares,18131797.0
Diluted EPS,0.9
Basic EPS,0.92
Diluted NI Availto Com Stockholders,16625000.0
Net Income Common Stockholders,16625000.0
Net Income,16625000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,16625000.0
Net Income Continuous Operations,16625000.0
Tax Provision,1596000.0
Pretax Income,18221000.0
Other Income Expense,-1088000.0
Special Income Charges,-378000.0
Write Off,378000.0
Earnings From Equity Interest,-1715000.0
Gain On Sale Of Security,1005000.0
Net Non Operating Interest Income Expense,292000.0
Total Other Finance Cost,92000.0
Interest Expense Non Operating,26000.0
Interest Income Non Operating,410000.0
Operating Income,19017000.0
Operating Expense,61465000.0
Other Operating Expenses,970000.0
Depreciation Amortization Depletion Income Statement,611000.0
Depreciation And Amortization In Income Statement,611000.0
Selling General And Administration,59884000.0
Selling And Marketing Expense,50900000.0
General And Administrative Expense,8984000.0
Other Gand A,3113000.0
Insurance And Claims,60000.0
Salaries And Wages,5811000.0
Gross Profit,80482000.0
Cost Of Revenue,39429000.0
Total Revenue,119911000.0
Operating Revenue,119911000.0
