,2026-03-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,65310.0,2976064.0,-106260.0
Tax Rate For Calcs,0.05,0.21,0.049,0.21
Normalized EBITDA,721000.0,70929000.0,15230000.0,2311000.0
Total Unusual Items,0.0,311000.0,60736000.0,-506000.0
Total Unusual Items Excluding Goodwill,0.0,311000.0,60736000.0,-506000.0
Net Income From Continuing Operation Net Minority Interest,-26762000.0,-3446000.0,39623000.0,-896000.0
Reconciled Depreciation,14849000.0,72148000.0,-70848000.0,896000.0
Reconciled Cost Of Revenue,151897000.0,27795000.0,232028000.0,25587000.0
EBITDA,721000.0,71240000.0,75966000.0,1805000.0
EBIT,-14128000.0,-908000.0,65431000.0,909000.0
Net Interest Income,-14069000.0,-2024000.0,-23780000.0,-1560000.0
Interest Expense,14069000.0,2024000.0,23780000.0,1560000.0
Normalized Income,-26762000.0,-3691690.0,-18136936.0,-496260.0
Net Income From Continuing And Discontinued Operation,-26762000.0,-6889000.0,39623000.0,-2666000.0
Total Expenses,212213000.0,41226000.0,185995000.0,36075000.0
Total Operating Income As Reported,-15081000.0,-1611000.0,5984000.0,988000.0
Diluted NI Availto Com Stockholders,-26762000.0,-6889000.0,39623000.0,-2666000.0
Net Income Common Stockholders,-26762000.0,-6889000.0,39623000.0,-2666000.0
Net Income,-26762000.0,-6889000.0,39623000.0,-2666000.0
Net Income Including Noncontrolling Interests,-26762000.0,-6889000.0,39623000.0,-2666000.0
Net Income Discontinuous Operations,,-3443000.0,-495000.0,-1770000.0
Net Income Continuous Operations,-26762000.0,-3446000.0,39623000.0,-896000.0
Tax Provision,-1435000.0,514000.0,2028000.0,245000.0
Pretax Income,-28197000.0,-2932000.0,41651000.0,-651000.0
Other Income Expense,953000.0,703000.0,59447000.0,1199000.0
Other Non Operating Income Expenses,953000.0,392000.0,-1289000.0,
Special Income Charges,0.0,,60736000.0,
Other Special Charges,,,109000.0,
Restructuring And Mergern Acquisition,0.0,,-60845000.0,
Gain On Sale Of Security,,311000.0,69000.0,-506000.0
Net Non Operating Interest Income Expense,-14069000.0,-2024000.0,-23780000.0,-1560000.0
Interest Expense Non Operating,14069000.0,2024000.0,23780000.0,1560000.0
Operating Income,-15081000.0,-1611000.0,5984000.0,-290000.0
Operating Expense,60316000.0,13431000.0,35350000.0,10365000.0
Other Operating Expenses,2653000.0,2417000.0,2553000.0,1574000.0
Depreciation Amortization Depletion Income Statement,14849000.0,607000.0,10535000.0,773000.0
Depreciation And Amortization In Income Statement,14849000.0,607000.0,10535000.0,773000.0
Selling General And Administration,42814000.0,10407000.0,22262000.0,8018000.0
Selling And Marketing Expense,,10407000.0,10953000.0,6740000.0
General And Administrative Expense,,,10584000.0,
Other Gand A,,,10953000.0,
Salaries And Wages,,,-369000.0,
Gross Profit,45235000.0,11820000.0,41334000.0,10075000.0
Cost Of Revenue,151897000.0,27795000.0,150645000.0,25710000.0
Total Revenue,197132000.0,39615000.0,191979000.0,35785000.0
Operating Revenue,197132000.0,39615000.0,191979000.0,35785000.0
