,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-260748.0
Net Income From Continuing Operation Net Minority Interest,2792569.0
EBITDA,-260748.0
EBIT,-260748.0
Net Interest Income,3053317.0
Interest Income,3053317.0
Normalized Income,2792569.0
Net Income From Continuing And Discontinued Operation,2792569.0
Total Expenses,260748.0
Total Operating Income As Reported,-260748.0
Diluted Average Shares,43125000.0
Basic Average Shares,43125000.0
Diluted EPS,0.06
Basic EPS,0.06
Diluted NI Availto Com Stockholders,2792569.0
Net Income Common Stockholders,2792569.0
Net Income,2792569.0
Net Income Including Noncontrolling Interests,2792569.0
Net Income Continuous Operations,2792569.0
Pretax Income,2792569.0
Net Non Operating Interest Income Expense,3053317.0
Interest Income Non Operating,3053317.0
Operating Income,-260748.0
Operating Expense,260748.0
Selling General And Administration,260748.0
General And Administrative Expense,260748.0
Other Gand A,260748.0
Total Revenue,0.0
Operating Revenue,0.0
