,2026-03-31,2025-11-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-1676913.0,-20371.0
Total Unusual Items,-200.0,
Total Unusual Items Excluding Goodwill,-200.0,
Net Income From Continuing Operation Net Minority Interest,-1043819.0,-20371.0
EBITDA,-1677113.0,-20371.0
EBIT,-1677113.0,-20371.0
Net Interest Income,633494.0,
Interest Income,633494.0,
Normalized Income,-1043619.0,-20371.0
Net Income From Continuing And Discontinued Operation,-1043819.0,-20371.0
Total Expenses,1677113.0,20371.0
Total Operating Income As Reported,-225988.0,
Diluted NI Availto Com Stockholders,-1043819.0,-20371.0
Net Income Common Stockholders,-1043819.0,-20371.0
Net Income,-1043819.0,-20371.0
Net Income Including Noncontrolling Interests,-1043819.0,-20371.0
Net Income Continuous Operations,-1043819.0,-20371.0
Pretax Income,-1043819.0,-20371.0
Other Income Expense,-200.0,
Gain On Sale Of Security,-200.0,
Net Non Operating Interest Income Expense,633494.0,
Interest Income Non Operating,633494.0,
Operating Income,-1677113.0,-20371.0
Operating Expense,1677113.0,20371.0
Other Operating Expenses,225988.0,
Selling General And Administration,1451125.0,20371.0
General And Administrative Expense,1451125.0,20371.0
Other Gand A,,20371.0
Salaries And Wages,1451125.0,
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
