,2024-12-31
Tax Effect Of Unusual Items,1512750.0
Tax Rate For Calcs,0.25
Normalized EBITDA,-63456000.0
Total Unusual Items,6051000.0
Total Unusual Items Excluding Goodwill,6051000.0
Net Income From Continuing Operation Net Minority Interest,-85053000.0
Reconciled Cost Of Revenue,50240000.0
EBITDA,-57405000.0
EBIT,-57405000.0
Net Interest Income,-10965000.0
Normalized Income,-89591250.0
Net Income From Continuing And Discontinued Operation,-85053000.0
Total Expenses,174773000.0
Total Operating Income As Reported,-77650000.0
Diluted Average Shares,4921995.0
Basic Average Shares,4921995.0
Diluted EPS,-16.0
Basic EPS,-16.0
Diluted NI Availto Com Stockholders,-85053000.0
Net Income Common Stockholders,-85053000.0
Net Income,-85053000.0
Minority Interests,-9000.0
Net Income Including Noncontrolling Interests,-85044000.0
Net Income Continuous Operations,-85044000.0
Earnings From Equity Interest Net Of Tax,-1998000.0
Tax Provision,368000.0
Pretax Income,-82678000.0
Other Income Expense,5937000.0
Other Non Operating Income Expenses,-114000.0
Gain On Sale Of Security,6051000.0
Net Non Operating Interest Income Expense,-10965000.0
Total Other Finance Cost,14815000.0
Operating Income,-77650000.0
Operating Expense,124533000.0
Other Operating Expenses,23384000.0
Selling General And Administration,101319000.0
Selling And Marketing Expense,30173000.0
General And Administrative Expense,71146000.0
Other Gand A,71146000.0
Gross Profit,46883000.0
Cost Of Revenue,50240000.0
Total Revenue,97123000.0
Operating Revenue,94950000.0
