,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-8635941.0
Net Income From Continuing Operation Net Minority Interest,-6993616.0
Reconciled Depreciation,23196.0
Reconciled Cost Of Revenue,8469916.0
EBITDA,-8635941.0
EBIT,-8659137.0
Net Interest Income,1665521.0
Interest Income,1665521.0
Normalized Income,-6993616.0
Net Income From Continuing And Discontinued Operation,-6993616.0
Total Expenses,8659137.0
Total Operating Income As Reported,-8659137.0
Diluted NI Availto Com Stockholders,-6993616.0
Net Income Common Stockholders,-6993616.0
Net Income,-6993616.0
Net Income Including Noncontrolling Interests,-6993616.0
Net Income Continuous Operations,-6993616.0
Pretax Income,-6993616.0
Net Non Operating Interest Income Expense,1665521.0
Interest Income Non Operating,1665521.0
Operating Income,-8659137.0
Operating Expense,189221.0
Selling General And Administration,189221.0
General And Administrative Expense,189221.0
Other Gand A,189221.0
Gross Profit,-8469916.0
Cost Of Revenue,8469916.0
Total Revenue,0.0
Operating Revenue,0.0
