,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-56396.0
Net Income From Continuing Operation Net Minority Interest,-56387.0
EBITDA,-56396.0
EBIT,-56396.0
Net Interest Income,9.0
Interest Income,9.0
Normalized Income,-56387.0
Net Income From Continuing And Discontinued Operation,-56387.0
Total Expenses,56396.0
Total Operating Income As Reported,-56396.0
Diluted NI Availto Com Stockholders,-56387.0
Net Income Common Stockholders,-56387.0
Net Income,-56387.0
Net Income Including Noncontrolling Interests,-56387.0
Net Income Continuous Operations,-56387.0
Pretax Income,-56387.0
Net Non Operating Interest Income Expense,9.0
Interest Income Non Operating,9.0
Operating Income,-56396.0
Operating Expense,56396.0
Other Operating Expenses,56396.0
Total Revenue,0.0
Operating Revenue,0.0
