,2026-03-31,2025-12-31,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-4275200.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.113895
Normalized EBITDA,18067000.0,73218000.0,32023000.0,45282000.0
Total Unusual Items,-10688000.0,,0.0,
Total Unusual Items Excluding Goodwill,-10688000.0,,0.0,
Net Income From Continuing Operation Net Minority Interest,-23358000.0,67417000.0,-714000.0,49777000.0
Reconciled Depreciation,23730000.0,23651000.0,19572000.0,22163000.0
Reconciled Cost Of Revenue,548881000.0,641440000.0,342944000.0,353655000.0
EBITDA,7379000.0,73218000.0,32023000.0,45282000.0
EBIT,-16351000.0,49567000.0,12451000.0,23119000.0
Net Interest Income,-5447000.0,-47065000.0,-9419000.0,40600000.0
Interest Expense,6897000.0,48317000.0,12691000.0,-37955000.0
Interest Income,1450000.0,1252000.0,3272000.0,2645000.0
Normalized Income,-16945200.0,67417000.0,-714000.0,49777000.0
Net Income From Continuing And Discontinued Operation,-23358000.0,67417000.0,-714000.0,49777000.0
Total Expenses,683986000.0,748383000.0,398586000.0,416173000.0
Total Operating Income As Reported,7181000.0,45247000.0,-9261000.0,-105088000.0
Diluted Average Shares,115348571.0,199415436.0,199415436.0,
Basic Average Shares,115348571.0,199415436.0,112273571.0,
Diluted EPS,-0.2,0.178196,-0.006359,
Basic EPS,-0.2,0.178196,-0.006359,
Diluted NI Availto Com Stockholders,-23358000.0,67417000.0,-714000.0,49777000.0
Net Income Common Stockholders,-23358000.0,67417000.0,-714000.0,49777000.0
Net Income,-23358000.0,67417000.0,-714000.0,49777000.0
Minority Interests,4056000.0,49985000.0,-212000.0,-4341000.0
Net Income Including Noncontrolling Interests,-27414000.0,17432000.0,-502000.0,54118000.0
Net Income Continuous Operations,-27414000.0,17432000.0,-502000.0,54118000.0
Tax Provision,4166000.0,-16182000.0,262000.0,6956000.0
Pretax Income,-23248000.0,1250000.0,-240000.0,61074000.0
Other Income Expense,-10620000.0,3068000.0,-82000.0,-4302000.0
Other Non Operating Income Expenses,68000.0,3068000.0,-82000.0,96000.0
Special Income Charges,-10688000.0,,0.0,
Other Special Charges,10688000.0,,,
Net Non Operating Interest Income Expense,-5447000.0,-47065000.0,-9419000.0,40600000.0
Interest Expense Non Operating,6897000.0,48317000.0,12691000.0,-37955000.0
Interest Income Non Operating,1450000.0,1252000.0,3272000.0,2645000.0
Operating Income,-7181000.0,45247000.0,9261000.0,24776000.0
Operating Expense,126254000.0,98625000.0,49838000.0,56724000.0
Depreciation Amortization Depletion Income Statement,14879000.0,15333000.0,13768000.0,16369000.0
Depreciation And Amortization In Income Statement,14879000.0,15333000.0,13768000.0,16369000.0
Amortization,14879000.0,15333000.0,13768000.0,16369000.0
Amortization Of Intangibles Income Statement,14879000.0,15333000.0,13768000.0,16369000.0
Selling General And Administration,111375000.0,83292000.0,36070000.0,40355000.0
Gross Profit,119073000.0,143872000.0,59099000.0,81500000.0
Cost Of Revenue,557732000.0,649758000.0,348748000.0,359449000.0
Total Revenue,676805000.0,793630000.0,407847000.0,440949000.0
Operating Revenue,676805000.0,787361000.0,407847000.0,440862000.0
