,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-223362.0,-76662.0
Net Income From Continuing Operation Net Minority Interest,1102874.0,-76662.0
EBITDA,-223362.0,-76662.0
EBIT,-223362.0,-76662.0
Net Interest Income,1165636.0,
Interest Income,1165636.0,
Normalized Income,1102874.0,-76662.0
Net Income From Continuing And Discontinued Operation,1102874.0,-76662.0
Total Expenses,223362.0,76662.0
Total Operating Income As Reported,-223362.0,-76662.0
Diluted Average Shares,21479730.0,28116667.0
Basic Average Shares,21479730.0,28116667.0
Diluted EPS,0.05,-0.002827
Basic EPS,0.05,-0.002827
Diluted NI Availto Com Stockholders,1102874.0,-76662.0
Net Income Common Stockholders,1102874.0,-76662.0
Net Income,1102874.0,-76662.0
Net Income Including Noncontrolling Interests,1102874.0,-76662.0
Net Income Continuous Operations,1102874.0,-76662.0
Pretax Income,1102874.0,-76662.0
Other Income Expense,160600.0,
Other Non Operating Income Expenses,160600.0,
Net Non Operating Interest Income Expense,1165636.0,
Interest Income Non Operating,1165636.0,
Operating Income,-223362.0,-76662.0
Operating Expense,223362.0,76662.0
Selling General And Administration,223362.0,76662.0
General And Administrative Expense,223362.0,76662.0
Other Gand A,223362.0,76662.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
