,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,-24979.222384,0.0,-333.15,0.0
Tax Rate For Calcs,0.0,0.012433,0.0,0.15,0.0
Normalized EBITDA,-1675105.0,-2404363.0,-1471643.0,-2882128.0,-2436564.0
Total Unusual Items,-1143.0,-2009178.0,-936.0,-2221.0,-11047.0
Total Unusual Items Excluding Goodwill,-1143.0,-2009178.0,-936.0,-2221.0,-11047.0
Net Income From Continuing Operation Net Minority Interest,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Reconciled Depreciation,386044.0,433644.0,453214.0,473874.0,480554.0
Reconciled Cost Of Revenue,6528892.0,7885757.0,6063191.0,6673384.0,5945868.0
EBITDA,-1676248.0,-4413541.0,-1472579.0,-2884349.0,-2447611.0
EBIT,-2062292.0,-4847185.0,-1925793.0,-3358223.0,-2928165.0
Net Interest Income,-1450126.0,-1643595.0,-1855028.0,-1227916.0,-1259423.0
Interest Expense,1450126.0,1643595.0,1855028.0,1227916.0,1259423.0
Normalized Income,-3511275.0,-4425884.222384,-3779885.0,-4598238.15,-4176541.0
Net Income From Continuing And Discontinued Operation,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Total Expenses,9428932.0,11779889.0,9028606.0,10544272.0,9762788.0
Total Operating Income As Reported,-2061149.0,-2838007.0,-1924857.0,-3356002.0,-2917118.0
Diluted NI Availto Com Stockholders,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Net Income Common Stockholders,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Net Income,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Net Income Including Noncontrolling Interests,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Net Income Continuous Operations,-3512418.0,-6410083.0,-3780821.0,-4600126.0,-4187588.0
Tax Provision,0.0,-80697.0,0.0,13987.0,0.0
Pretax Income,-3512418.0,-6490780.0,-3780821.0,-4586139.0,-4187588.0
Other Income Expense,-1143.0,-2009178.0,-936.0,-2221.0,-11047.0
Special Income Charges,,,,0.0,
Gain On Sale Of Ppe,,,,0.0,
Gain On Sale Of Security,-1143.0,-1740.0,-936.0,-2221.0,-11047.0
Net Non Operating Interest Income Expense,-1450126.0,-1643595.0,-1855028.0,-1227916.0,-1259423.0
Interest Expense Non Operating,1450126.0,1643595.0,1855028.0,1227916.0,1259423.0
Operating Income,-2061149.0,-2838007.0,-1924857.0,-3356003.0,-2917118.0
Operating Expense,2900040.0,3894132.0,2965415.0,3870888.0,3816920.0
Selling General And Administration,2900040.0,3894132.0,2965415.0,3870888.0,3816920.0
Selling And Marketing Expense,,,,566193.0,
General And Administrative Expense,,,,3304695.0,
Other Gand A,,,,3304695.0,
Gross Profit,838891.0,1056125.0,1040558.0,514885.0,899802.0
Cost Of Revenue,6528892.0,7885757.0,6063191.0,6673384.0,5945868.0
Total Revenue,7367783.0,8941882.0,7103749.0,7188269.0,6845670.0
Operating Revenue,7782208.0,9310729.0,7364072.0,7575869.0,7224957.0
