,2024-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-3072000.0
Total Unusual Items,-5042000.0
Total Unusual Items Excluding Goodwill,-5042000.0
Net Income From Continuing Operation Net Minority Interest,-8189000.0
Reconciled Cost Of Revenue,7146000.0
EBITDA,-8114000.0
EBIT,-8114000.0
Net Interest Income,-70000.0
Interest Expense,75000.0
Interest Income,5000.0
Normalized Income,-3147000.0
Net Income From Continuing And Discontinued Operation,-8189000.0
Total Expenses,2090000.0
Total Operating Income As Reported,-8101000.0
Diluted Average Shares,14999.0
Basic Average Shares,14999.0
Diluted EPS,-585.0
Basic EPS,-585.0
Diluted NI Availto Com Stockholders,-8792000.0
Net Income Common Stockholders,-8792000.0
Preferred Stock Dividends,603000.0
Net Income,-8189000.0
Net Income Including Noncontrolling Interests,-8189000.0
Net Income Continuous Operations,-8189000.0
Pretax Income,-8189000.0
Other Income Expense,-11810000.0
Other Non Operating Income Expenses,-6742000.0
Special Income Charges,-5042000.0
Write Off,5035000.0
Impairment Of Capital Assets,5035000.0
Earnings From Equity Interest,-26000.0
Net Non Operating Interest Income Expense,-70000.0
Interest Expense Non Operating,75000.0
Interest Income Non Operating,5000.0
Operating Income,3691000.0
Operating Expense,-5056000.0
Other Operating Expenses,-6427000.0
Selling General And Administration,1371000.0
General And Administrative Expense,1371000.0
Other Gand A,1371000.0
Gross Profit,-1365000.0
Cost Of Revenue,7146000.0
Total Revenue,5781000.0
Operating Revenue,5781000.0
