,2026-03-31,2025-09-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.21
Normalized EBITDA,-104181.0,0.0
Total Unusual Items,-79656.0,
Total Unusual Items Excluding Goodwill,-79656.0,
Net Income From Continuing Operation Net Minority Interest,-263493.0,96.0
EBITDA,-183837.0,0.0
EBIT,-183837.0,0.0
Net Interest Income,,96.0
Interest Income,,96.0
Normalized Income,-183837.0,96.0
Net Income From Continuing And Discontinued Operation,-263493.0,96.0
Total Expenses,183837.0,
Total Operating Income As Reported,-183837.0,
Diluted NI Availto Com Stockholders,-263493.0,96.0
Net Income Common Stockholders,-263493.0,96.0
Net Income,-263493.0,96.0
Net Income Including Noncontrolling Interests,-263493.0,96.0
Net Income Continuous Operations,-263493.0,96.0
Pretax Income,-263493.0,96.0
Other Income Expense,-79656.0,
Gain On Sale Of Security,-79656.0,
Net Non Operating Interest Income Expense,,96.0
Interest Income Non Operating,,96.0
Operating Income,-183837.0,0.0
Operating Expense,183837.0,
Selling General And Administration,183837.0,
General And Administrative Expense,183837.0,
Other Gand A,183837.0,
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
