,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-27000.0
Net Income From Continuing Operation Net Minority Interest,-27000.0
EBITDA,-27000.0
EBIT,-27000.0
Normalized Income,-27000.0
Net Income From Continuing And Discontinued Operation,-27000.0
Total Expenses,27000.0
Diluted NI Availto Com Stockholders,-27000.0
Net Income Common Stockholders,-27000.0
Net Income,-27000.0
Net Income Including Noncontrolling Interests,-27000.0
Net Income Continuous Operations,-27000.0
Pretax Income,-27000.0
Operating Income,-27000.0
Operating Expense,27000.0
Other Operating Expenses,27000.0
Total Revenue,0.0
Operating Revenue,0.0
