,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,9160.0,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-200418.0,-73383.0
Total Unusual Items,22900.0,
Total Unusual Items Excluding Goodwill,22900.0,
Net Income From Continuing Operation Net Minority Interest,832500.0,-73383.0
EBITDA,-177518.0,-73383.0
EBIT,-177518.0,-73383.0
Net Interest Income,987118.0,
Interest Income,987118.0,
Normalized Income,818760.0,-73383.0
Net Income From Continuing And Discontinued Operation,832500.0,-73383.0
Total Expenses,177518.0,73383.0
Total Operating Income As Reported,-177518.0,
Diluted NI Availto Com Stockholders,832500.0,-73383.0
Net Income Common Stockholders,832500.0,-73383.0
Net Income,832500.0,-73383.0
Net Income Including Noncontrolling Interests,832500.0,-73383.0
Net Income Continuous Operations,832500.0,-73383.0
Pretax Income,832500.0,-73383.0
Other Income Expense,22900.0,
Gain On Sale Of Security,22900.0,
Net Non Operating Interest Income Expense,987118.0,
Interest Income Non Operating,987118.0,
Operating Income,-177518.0,-73383.0
Operating Expense,177518.0,73383.0
Selling General And Administration,177518.0,73383.0
General And Administrative Expense,177518.0,73383.0
Other Gand A,177518.0,73383.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
