,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-10965430.0
Net Income From Continuing Operation Net Minority Interest,-8910820.0
EBITDA,-10965430.0
EBIT,-10965430.0
Net Interest Income,2054610.0
Interest Income,2054610.0
Normalized Income,-8910820.0
Net Income From Continuing And Discontinued Operation,-8910820.0
Total Expenses,10965430.0
Total Operating Income As Reported,-10965430.0
Diluted NI Availto Com Stockholders,-8910820.0
Net Income Common Stockholders,-8910820.0
Net Income,-8910820.0
Net Income Including Noncontrolling Interests,-8910820.0
Net Income Continuous Operations,-8910820.0
Pretax Income,-8910820.0
Net Non Operating Interest Income Expense,2054610.0
Interest Income Non Operating,2054610.0
Operating Income,-10965430.0
Operating Expense,10965430.0
Selling General And Administration,10965430.0
General And Administrative Expense,10965430.0
Other Gand A,10965430.0
Total Revenue,0.0
Operating Revenue,0.0
