,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-59901.0
Net Income From Continuing Operation Net Minority Interest,-59901.0
EBITDA,-59901.0
EBIT,-59901.0
Normalized Income,-59901.0
Net Income From Continuing And Discontinued Operation,-59901.0
Total Expenses,59901.0
Diluted Average Shares,9956250.0
Basic Average Shares,9956250.0
Diluted EPS,-0.006191
Basic EPS,-0.006191
Diluted NI Availto Com Stockholders,-59901.0
Net Income Common Stockholders,-59901.0
Net Income,-59901.0
Net Income Including Noncontrolling Interests,-59901.0
Net Income Continuous Operations,-59901.0
Pretax Income,-59901.0
Operating Income,-59901.0
Operating Expense,59901.0
Selling General And Administration,59901.0
General And Administrative Expense,59901.0
Other Gand A,59901.0
Total Revenue,0.0
Operating Revenue,0.0
