,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-478784.0
Net Income From Continuing Operation Net Minority Interest,300812.0
EBITDA,-478784.0
EBIT,-478784.0
Net Interest Income,779596.0
Interest Income,779596.0
Normalized Income,300812.0
Net Income From Continuing And Discontinued Operation,300812.0
Total Expenses,478784.0
Total Operating Income As Reported,-478784.0
Diluted NI Availto Com Stockholders,300812.0
Net Income Common Stockholders,300812.0
Net Income,300812.0
Net Income Including Noncontrolling Interests,300812.0
Net Income Continuous Operations,300812.0
Pretax Income,300812.0
Net Non Operating Interest Income Expense,779596.0
Interest Income Non Operating,779596.0
Operating Income,-478784.0
Operating Expense,478784.0
Selling General And Administration,478784.0
General And Administrative Expense,478784.0
Other Gand A,478784.0
Total Revenue,0.0
Operating Revenue,0.0
