,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-250912.0
Net Income From Continuing Operation Net Minority Interest,510262.0
EBITDA,-250912.0
EBIT,-250912.0
Net Interest Income,761174.0
Interest Income,761174.0
Normalized Income,510262.0
Net Income From Continuing And Discontinued Operation,510262.0
Total Expenses,250912.0
Diluted NI Availto Com Stockholders,510262.0
Net Income Common Stockholders,510262.0
Net Income,510262.0
Net Income Including Noncontrolling Interests,510262.0
Net Income Continuous Operations,510262.0
Pretax Income,510262.0
Net Non Operating Interest Income Expense,761174.0
Interest Income Non Operating,761174.0
Operating Income,-250912.0
Operating Expense,250912.0
Selling General And Administration,250912.0
General And Administrative Expense,250912.0
Other Gand A,250912.0
Total Revenue,0.0
Operating Revenue,0.0
