,2026-03-31,2025-12-31,2025-09-30
Tax Effect Of Unusual Items,0.0,-40190010.0,0.0
Tax Rate For Calcs,0.218619,0.21,0.0
Normalized EBITDA,-4621000.0,188416000.0,-1212921.0
Total Unusual Items,0.0,-191381000.0,
Total Unusual Items Excluding Goodwill,0.0,-191381000.0,
Net Income From Continuing Operation Net Minority Interest,152510000.0,-304463000.0,-1212921.0
EBITDA,-4621000.0,-2965000.0,-1212921.0
EBIT,-4621000.0,-2965000.0,-1212921.0
Net Interest Income,1043000.0,878000.0,
Interest Income,1043000.0,878000.0,
Normalized Income,152510000.0,-153272010.0,-1212921.0
Net Income From Continuing And Discontinued Operation,152510000.0,-304463000.0,-1212921.0
Total Expenses,7247000.0,3465000.0,1212921.0
Total Operating Income As Reported,193814000.0,-287546000.0,
Diluted Average Shares,124044456.0,41004125.0,127025563.0
Basic Average Shares,124036555.0,41004125.0,127025563.0
Diluted EPS,1.01,-7.43,-0.009549
Basic EPS,1.01,-7.43,-0.009549
Diluted NI Availto Com Stockholders,125590000.0,-304463000.0,-1212921.0
Net Income Common Stockholders,125590000.0,-304463000.0,-1212921.0
Otherunder Preferred Stock Dividend,26920000.0,,
Net Income,152510000.0,-304463000.0,-1212921.0
Net Income Including Noncontrolling Interests,152510000.0,-304463000.0,-1212921.0
Net Income Continuous Operations,152510000.0,-304463000.0,-1212921.0
Tax Provision,42670000.0,17795000.0,
Pretax Income,195180000.0,-286668000.0,-1212921.0
Other Income Expense,198758000.0,-284581000.0,
Other Non Operating Income Expenses,198758000.0,-93200000.0,
Special Income Charges,0.0,-191381000.0,
Impairment Of Capital Assets,,93200000.0,
Restructuring And Mergern Acquisition,0.0,191381000.0,
Net Non Operating Interest Income Expense,1043000.0,878000.0,
Interest Income Non Operating,1043000.0,878000.0,
Operating Income,-4621000.0,-2965000.0,-1212921.0
Operating Expense,7247000.0,3465000.0,1212921.0
Other Operating Expenses,,,1212921.0
Selling General And Administration,7247000.0,3465000.0,
Total Revenue,2626000.0,500000.0,0.0
Operating Revenue,2626000.0,500000.0,0.0
