,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-152841.0
Net Income From Continuing Operation Net Minority Interest,899846.0
EBITDA,-152841.0
EBIT,-152841.0
Net Interest Income,1052687.0
Interest Income,1052687.0
Normalized Income,899846.0
Net Income From Continuing And Discontinued Operation,899846.0
Total Expenses,152841.0
Total Operating Income As Reported,-152841.0
Diluted Average Shares,19200000.0
Basic Average Shares,19200000.0
Diluted EPS,0.05
Basic EPS,0.05
Diluted NI Availto Com Stockholders,899846.0
Net Income Common Stockholders,899846.0
Net Income,899846.0
Net Income Including Noncontrolling Interests,899846.0
Net Income Continuous Operations,899846.0
Pretax Income,899846.0
Net Non Operating Interest Income Expense,1052687.0
Interest Income Non Operating,1052687.0
Operating Income,-152841.0
Operating Expense,152841.0
Selling General And Administration,152841.0
General And Administrative Expense,152841.0
Other Gand A,152841.0
Total Revenue,0.0
Operating Revenue,0.0
