,2024-12-31
Tax Effect Of Unusual Items,-67144.446558
Tax Rate For Calcs,0.009604
Normalized EBITDA,-3303000.0
Total Unusual Items,-6991000.0
Total Unusual Items Excluding Goodwill,-6991000.0
Net Income From Continuing Operation Net Minority Interest,-10415000.0
Reconciled Cost Of Revenue,932013000.0
EBITDA,-10294000.0
EBIT,-10294000.0
Net Interest Income,805000.0
Interest Expense,222000.0
Interest Income,1027000.0
Normalized Income,-3491144.446558
Net Income From Continuing And Discontinued Operation,-10415000.0
Total Expenses,986271000.0
Diluted NI Availto Com Stockholders,-10415000.0
Net Income Common Stockholders,-10415000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,-10415000.0
Net Income Including Noncontrolling Interests,-10415000.0
Net Income Continuous Operations,-10415000.0
Tax Provision,-101000.0
Pretax Income,-10516000.0
Other Income Expense,-8686000.0
Other Non Operating Income Expenses,-1695000.0
Gain On Sale Of Security,-6991000.0
Net Non Operating Interest Income Expense,805000.0
Interest Expense Non Operating,222000.0
Interest Income Non Operating,1027000.0
Operating Income,-2635000.0
Operating Expense,54258000.0
Other Operating Expenses,-410000.0
Research And Development,9256000.0
Selling General And Administration,45412000.0
Selling And Marketing Expense,19730000.0
General And Administrative Expense,25682000.0
Other Gand A,25682000.0
Gross Profit,51623000.0
Cost Of Revenue,932013000.0
Total Revenue,983636000.0
Operating Revenue,978624000.0
