,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.169131,0.138824
Normalized EBITDA,68590000.0,27101000.0
Net Income From Continuing Operation Net Minority Interest,48552000.0,26414000.0
Reconciled Depreciation,162000.0,149000.0
Reconciled Cost Of Revenue,6532000.0,4910000.0
EBITDA,68590000.0,27101000.0
EBIT,68428000.0,26952000.0
Net Interest Income,23715000.0,
Interest Expense,9716000.0,
Normalized Income,48552000.0,26414000.0
Net Income From Continuing And Discontinued Operation,48552000.0,26414000.0
Total Expenses,-1911000.0,-8157000.0
Total Operating Income As Reported,34997000.0,37707000.0
Diluted Average Shares,80807096.0,80807096.0
Basic Average Shares,80807096.0,80807096.0
Diluted EPS,0.600838,0.326877
Basic EPS,0.600838,0.326877
Diluted NI Availto Com Stockholders,48552000.0,26414000.0
Net Income Common Stockholders,48552000.0,26414000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,48552000.0,26414000.0
Minority Interests,-230000.0,
Net Income Including Noncontrolling Interests,48782000.0,26414000.0
Net Income Continuous Operations,48782000.0,26414000.0
Tax Provision,9930000.0,4258000.0
Pretax Income,58712000.0,30672000.0
Other Non Operating Income Expenses,-198000.0,-7035000.0
Net Non Operating Interest Income Expense,23715000.0,
Total Other Finance Cost,-33431000.0,
Interest Expense Non Operating,9716000.0,
Operating Income,27165000.0,26952000.0
Operating Expense,-8443000.0,-13067000.0
Selling General And Administration,3580000.0,2652000.0
Selling And Marketing Expense,649000.0,736000.0
General And Administrative Expense,2931000.0,1916000.0
Gross Profit,18722000.0,13885000.0
Cost Of Revenue,6532000.0,4910000.0
Total Revenue,25254000.0,18795000.0
Operating Revenue,25254000.0,18795000.0
