,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-68793.0
Net Income From Continuing Operation Net Minority Interest,-68793.0
EBITDA,-68793.0
EBIT,-68793.0
Normalized Income,-68793.0
Net Income From Continuing And Discontinued Operation,-68793.0
Total Expenses,68793.0
Total Operating Income As Reported,-68793.0
Diluted Average Shares,8025000.0
Basic Average Shares,8025000.0
Diluted EPS,-0.00882
Basic EPS,-0.00882
Diluted NI Availto Com Stockholders,-68793.0
Net Income Common Stockholders,-68793.0
Net Income,-68793.0
Net Income Including Noncontrolling Interests,-68793.0
Net Income Continuous Operations,-68793.0
Pretax Income,-68793.0
Operating Income,-68793.0
Operating Expense,68793.0
Selling General And Administration,68793.0
General And Administrative Expense,68793.0
Other Gand A,68793.0
Total Revenue,0.0
Operating Revenue,0.0
