,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-373484.0,-52950.0
Net Income From Continuing Operation Net Minority Interest,423410.0,-52950.0
EBITDA,-373484.0,-52950.0
EBIT,-373484.0,-52950.0
Net Interest Income,796894.0,
Interest Income,796894.0,
Normalized Income,423410.0,-52950.0
Net Income From Continuing And Discontinued Operation,423410.0,-52950.0
Total Expenses,373484.0,52950.0
Total Operating Income As Reported,-373484.0,
Diluted NI Availto Com Stockholders,423410.0,-52950.0
Net Income Common Stockholders,423410.0,-52950.0
Net Income,423410.0,-52950.0
Net Income Including Noncontrolling Interests,423410.0,-52950.0
Net Income Continuous Operations,423410.0,-52950.0
Pretax Income,423410.0,-52950.0
Net Non Operating Interest Income Expense,796894.0,
Interest Income Non Operating,796894.0,
Operating Income,-373484.0,-52950.0
Operating Expense,373484.0,52950.0
Selling General And Administration,373484.0,52950.0
General And Administrative Expense,373484.0,52950.0
Other Gand A,290949.0,52950.0
Salaries And Wages,82535.0,
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
