,2024-09-30
Tax Effect Of Unusual Items,2940.0
Tax Rate For Calcs,0.21
Normalized EBITDA,-14596000.0
Total Unusual Items,14000.0
Total Unusual Items Excluding Goodwill,14000.0
Net Income From Continuing Operation Net Minority Interest,-15524000.0
Reconciled Depreciation,1911000.0
Reconciled Cost Of Revenue,1728000.0
EBITDA,-14582000.0
EBIT,-16493000.0
Net Interest Income,-30000.0
Normalized Income,-15535060.0
Net Income From Continuing And Discontinued Operation,-15524000.0
Total Expenses,38880000.0
Total Operating Income As Reported,-16493000.0
Diluted Average Shares,100475081.0
Basic Average Shares,100475081.0
Diluted EPS,-0.15
Basic EPS,-0.15
Diluted NI Availto Com Stockholders,-15524000.0
Net Income Common Stockholders,-15524000.0
Net Income,-15524000.0
Net Income Including Noncontrolling Interests,-15524000.0
Net Income Continuous Operations,-15524000.0
Tax Provision,7000.0
Pretax Income,-15517000.0
Other Income Expense,1006000.0
Other Non Operating Income Expenses,992000.0
Gain On Sale Of Security,14000.0
Net Non Operating Interest Income Expense,-30000.0
Total Other Finance Cost,30000.0
Operating Income,-16493000.0
Operating Expense,37152000.0
Other Operating Expenses,15255000.0
Depreciation Amortization Depletion Income Statement,1911000.0
Depreciation And Amortization In Income Statement,1911000.0
Research And Development,3686000.0
Selling General And Administration,16300000.0
Selling And Marketing Expense,5197000.0
General And Administrative Expense,11103000.0
Other Gand A,11103000.0
Gross Profit,20659000.0
Cost Of Revenue,1728000.0
Total Revenue,22387000.0
Operating Revenue,22387000.0
