,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-60065.0
Net Income From Continuing Operation Net Minority Interest,-60065.0
EBITDA,-60065.0
EBIT,-60065.0
Normalized Income,-60065.0
Net Income From Continuing And Discontinued Operation,-60065.0
Total Expenses,60065.0
Diluted NI Availto Com Stockholders,-60065.0
Net Income Common Stockholders,-60065.0
Net Income,-60065.0
Net Income Including Noncontrolling Interests,-60065.0
Net Income Continuous Operations,-60065.0
Pretax Income,-60065.0
Operating Income,-60065.0
Operating Expense,60065.0
Selling General And Administration,60065.0
General And Administrative Expense,60065.0
Other Gand A,60065.0
Total Revenue,0.0
Operating Revenue,0.0
