,2025-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-2251170.0
Total Unusual Items,-14570.0
Total Unusual Items Excluding Goodwill,-14570.0
Net Income From Continuing Operation Net Minority Interest,-2293068.0
Reconciled Depreciation,12055.0
Reconciled Cost Of Revenue,11841.0
EBITDA,-2265740.0
EBIT,-2277795.0
Normalized Income,-2278498.0
Net Income From Continuing And Discontinued Operation,-2293068.0
Total Expenses,2304800.0
Total Operating Income As Reported,-2277795.0
Diluted NI Availto Com Stockholders,-2293068.0
Net Income Common Stockholders,-2293068.0
Net Income,-2293068.0
Net Income Including Noncontrolling Interests,-2293068.0
Net Income Continuous Operations,-2293068.0
Pretax Income,-2293068.0
Other Income Expense,-15273.0
Other Non Operating Income Expenses,-703.0
Gain On Sale Of Security,-14570.0
Operating Income,-2277795.0
Operating Expense,2292959.0
Research And Development,154143.0
Selling General And Administration,2138816.0
Gross Profit,15164.0
Cost Of Revenue,11841.0
Total Revenue,27005.0
Operating Revenue,27005.0
