,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-228464.0
Net Income From Continuing Operation Net Minority Interest,439599.0
EBITDA,-228464.0
EBIT,-228464.0
Net Interest Income,546763.0
Interest Income,546763.0
Normalized Income,439599.0
Net Income From Continuing And Discontinued Operation,439599.0
Total Expenses,228464.0
Total Operating Income As Reported,-228464.0
Diluted Average Shares,11177110.0
Basic Average Shares,11177110.0
Diluted EPS,0.04
Basic EPS,0.04
Diluted NI Availto Com Stockholders,439599.0
Net Income Common Stockholders,439599.0
Net Income,439599.0
Net Income Including Noncontrolling Interests,439599.0
Net Income Continuous Operations,439599.0
Pretax Income,439599.0
Other Income Expense,121300.0
Other Non Operating Income Expenses,121300.0
Net Non Operating Interest Income Expense,546763.0
Interest Income Non Operating,546763.0
Operating Income,-228464.0
Operating Expense,228464.0
Selling General And Administration,228464.0
General And Administrative Expense,228464.0
Other Gand A,228464.0
Total Revenue,0.0
Operating Revenue,0.0
