,2026-03-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,1083478.8,662482.38,410719.05
Tax Rate For Calcs,0.4,0.21,0.21
Normalized EBITDA,-2874141.0,-3226493.0,-2081262.0
Total Unusual Items,2708697.0,3154678.0,1955805.0
Total Unusual Items Excluding Goodwill,2708697.0,3154678.0,1955805.0
Net Income From Continuing Operation Net Minority Interest,2551433.0,3093694.0,1833653.0
EBITDA,-165444.0,-71815.0,-125457.0
EBIT,-165444.0,-71815.0,-125457.0
Net Interest Income,8180.0,10831.0,3305.0
Interest Income,8180.0,10831.0,3305.0
Normalized Income,926214.8,601498.38,288567.05
Net Income From Continuing And Discontinued Operation,2551433.0,3093694.0,1833653.0
Total Expenses,165444.0,71815.0,125457.0
Total Operating Income As Reported,-165444.0,-71815.0,-125457.0
Diluted Average Shares,37500000.0,37500000.0,27280220.0
Basic Average Shares,37500000.0,37500000.0,26973627.0
Diluted EPS,0.07,0.08,0.07
Basic EPS,0.07,0.08,0.07
Diluted NI Availto Com Stockholders,2551433.0,3093694.0,1833653.0
Net Income Common Stockholders,2551433.0,3093694.0,1833653.0
Net Income,2551433.0,3093694.0,1833653.0
Net Income Including Noncontrolling Interests,2551433.0,3093694.0,1833653.0
Net Income Continuous Operations,2551433.0,3093694.0,1833653.0
Pretax Income,2551433.0,3093694.0,1833653.0
Other Income Expense,2708697.0,3154678.0,1955805.0
Gain On Sale Of Security,2708697.0,3154678.0,1955805.0
Net Non Operating Interest Income Expense,8180.0,10831.0,3305.0
Interest Income Non Operating,8180.0,10831.0,3305.0
Operating Income,-165444.0,-71815.0,-125457.0
Operating Expense,165444.0,71815.0,125457.0
Selling General And Administration,165444.0,71815.0,125457.0
General And Administrative Expense,165444.0,71815.0,125457.0
Other Gand A,165444.0,71815.0,125457.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
