,2026-03-31,2025-12-31,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-82224000.0,-74598000.0,-64917000.0,-58702000.0
Net Income From Continuing Operation Net Minority Interest,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Reconciled Depreciation,5113000.0,5105000.0,6466000.0,6215000.0
EBITDA,-82224000.0,-74598000.0,-64917000.0,-58702000.0
EBIT,-87337000.0,-79703000.0,-71383000.0,-64917000.0
Net Interest Income,4380000.0,3522000.0,3160000.0,2848000.0
Interest Expense,,-48000.0,,7000.0
Interest Income,4380000.0,3474000.0,3160000.0,2855000.0
Normalized Income,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Net Income From Continuing And Discontinued Operation,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Total Expenses,87337000.0,83168000.0,71383000.0,67777000.0
Total Operating Income As Reported,-87337000.0,-83168000.0,-71383000.0,-67777000.0
Diluted Average Shares,33700550.0,,32707651.0,
Basic Average Shares,33700550.0,,32707651.0,
Diluted EPS,-2.46,,-2.279069,
Basic EPS,-2.46,,-2.279069,
Diluted NI Availto Com Stockholders,-82958000.0,-79655000.0,-74543000.0,-64924000.0
Net Income Common Stockholders,-82958000.0,-79655000.0,-74543000.0,-64924000.0
Otherunder Preferred Stock Dividend,0.0,0.0,6300000.0,
Net Income,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Net Income Including Noncontrolling Interests,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Net Income Continuous Operations,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Pretax Income,-82958000.0,-79655000.0,-68243000.0,-64924000.0
Other Income Expense,-1000.0,-9000.0,-20000.0,5000.0
Other Non Operating Income Expenses,-1000.0,-9000.0,-20000.0,5000.0
Net Non Operating Interest Income Expense,4380000.0,3522000.0,3160000.0,2848000.0
Interest Expense Non Operating,,-48000.0,,7000.0
Interest Income Non Operating,4380000.0,3474000.0,3160000.0,2855000.0
Operating Income,-87337000.0,-83168000.0,-71383000.0,-67777000.0
Operating Expense,87337000.0,83168000.0,71383000.0,67777000.0
Research And Development,70047000.0,65229000.0,56587000.0,53860000.0
Selling General And Administration,17290000.0,17939000.0,14796000.0,13917000.0
General And Administrative Expense,17290000.0,17939000.0,14796000.0,13917000.0
Other Gand A,17290000.0,17939000.0,14796000.0,13917000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
