,2026-03-31,2025-12-31,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-1744251.0,-1164912.0,-742225.0,-1217473.0
Total Unusual Items,-148766.0,,,
Total Unusual Items Excluding Goodwill,-148766.0,,,
Net Income From Continuing Operation Net Minority Interest,-2174836.0,-1307771.0,-764577.0,-1249048.0
Reconciled Depreciation,14811.0,17874.0,21612.0,31575.0
Reconciled Cost Of Revenue,290491.0,407857.0,388025.0,373054.0
EBITDA,-1893017.0,-1164912.0,-742225.0,-1217473.0
EBIT,-1907828.0,-1182786.0,-763837.0,-1249048.0
Net Interest Income,-260355.0,-121898.0,7718.0,11270.0
Interest Expense,267008.0,124985.0,740.0,0.0
Interest Income,6653.0,3087.0,8458.0,11270.0
Normalized Income,-2026070.0,-1307771.0,-764577.0,-1249048.0
Net Income From Continuing And Discontinued Operation,-2174836.0,-1307771.0,-764577.0,-1249048.0
Total Expenses,1796731.0,1451120.0,1326000.0,1780082.0
Total Operating Income As Reported,-1443356.0,-912846.0,-772180.0,-1260354.0
Diluted Average Shares,7657229.0,,10347232.0,
Basic Average Shares,7657229.0,,10347232.0,
Diluted EPS,-0.28,,-0.073892,
Basic EPS,-0.28,,-0.073892,
Diluted NI Availto Com Stockholders,-2120644.0,-1307771.0,-764577.0,-1249048.0
Net Income Common Stockholders,-2120644.0,-1307771.0,-764577.0,-1249048.0
Preferred Stock Dividends,-54192.0,,,
Net Income,-2174836.0,-1307771.0,-764577.0,-1249048.0
Net Income Including Noncontrolling Interests,-2174836.0,-1307771.0,-764577.0,-1249048.0
Net Income Continuous Operations,-2174836.0,-1307771.0,-764577.0,-1249048.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-2174836.0,-1307771.0,-764577.0,-1249048.0
Other Income Expense,-471125.0,-273027.0,-115.0,-16320.0
Other Non Operating Income Expenses,-322359.0,-280764.0,-115.0,36.0
Gain On Sale Of Security,-148766.0,,,
Net Non Operating Interest Income Expense,-260355.0,-121898.0,7718.0,11270.0
Interest Expense Non Operating,267008.0,124985.0,740.0,0.0
Interest Income Non Operating,6653.0,3087.0,8458.0,11270.0
Operating Income,-1443356.0,-912846.0,-772180.0,-1243998.0
Operating Expense,1506240.0,1043263.0,937975.0,1407028.0
Research And Development,153482.0,130554.0,136831.0,446056.0
Selling General And Administration,1352758.0,912709.0,801144.0,960972.0
General And Administrative Expense,1352758.0,,801144.0,960972.0
Other Gand A,1254379.0,,701555.0,676886.0
Salaries And Wages,98379.0,,99589.0,284086.0
Gross Profit,62884.0,130417.0,165795.0,163030.0
Cost Of Revenue,290491.0,407857.0,388025.0,373054.0
Total Revenue,353375.0,538274.0,553820.0,536084.0
Operating Revenue,353375.0,538274.0,553820.0,536084.0
