,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-56685.0
Net Income From Continuing Operation Net Minority Interest,-56685.0
EBITDA,-56685.0
EBIT,-56685.0
Normalized Income,-56685.0
Net Income From Continuing And Discontinued Operation,-56685.0
Total Expenses,56685.0
Diluted NI Availto Com Stockholders,-56685.0
Net Income Common Stockholders,-56685.0
Net Income,-56685.0
Net Income Including Noncontrolling Interests,-56685.0
Net Income Continuous Operations,-56685.0
Pretax Income,-56685.0
Operating Income,-56685.0
Operating Expense,56685.0
Selling General And Administration,56685.0
General And Administrative Expense,56685.0
Other Gand A,56685.0
Total Revenue,0.0
Operating Revenue,0.0
