,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-70301.0
Net Income From Continuing Operation Net Minority Interest,-70301.0
EBITDA,-70301.0
EBIT,-70301.0
Normalized Income,-70301.0
Net Income From Continuing And Discontinued Operation,-70301.0
Total Expenses,70301.0
Diluted NI Availto Com Stockholders,-70301.0
Net Income Common Stockholders,-70301.0
Net Income,-70301.0
Net Income Including Noncontrolling Interests,-70301.0
Net Income Continuous Operations,-70301.0
Pretax Income,-70301.0
Operating Income,-70301.0
Operating Expense,70301.0
Selling General And Administration,70301.0
General And Administrative Expense,70301.0
Other Gand A,70301.0
Total Revenue,0.0
Operating Revenue,0.0
