,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-228154.0,-82211.0
Net Income From Continuing Operation Net Minority Interest,1926341.0,-82211.0
EBITDA,-228154.0,-82211.0
EBIT,-228154.0,-82211.0
Net Interest Income,2154495.0,
Interest Income,2154495.0,
Normalized Income,1926341.0,-82211.0
Net Income From Continuing And Discontinued Operation,1926341.0,-82211.0
Total Expenses,228154.0,82211.0
Total Operating Income As Reported,-228154.0,-82211.0
Diluted NI Availto Com Stockholders,1926341.0,-82211.0
Net Income Common Stockholders,1926341.0,-82211.0
Net Income,1926341.0,-82211.0
Net Income Including Noncontrolling Interests,1926341.0,-82211.0
Net Income Continuous Operations,1926341.0,-82211.0
Pretax Income,1926341.0,-82211.0
Net Non Operating Interest Income Expense,2154495.0,
Interest Income Non Operating,2154495.0,
Operating Income,-228154.0,-82211.0
Operating Expense,228154.0,82211.0
Selling General And Administration,228154.0,82211.0
General And Administrative Expense,228154.0,82211.0
Other Gand A,228154.0,82211.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
