,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,-2362750.736186,0.0,0.0
Tax Rate For Calcs,0.214286,0.25,0.273625,0.2,0.25
Normalized EBITDA,353000000.0,347454000.0,447359000.0,386000000.0,336541000.0
Total Unusual Items,,,-8635000.0,,
Total Unusual Items Excluding Goodwill,,,-8635000.0,,
Net Income From Continuing Operation Net Minority Interest,73000000.0,98250000.0,117063000.0,60000000.0,68968000.0
Reconciled Depreciation,104000000.0,128367000.0,106785000.0,112000000.0,110131000.0
Reconciled Cost Of Revenue,1080000000.0,1294819000.0,1055856000.0,1091000000.0,1209319000.0
EBITDA,353000000.0,347454000.0,438724000.0,386000000.0,336541000.0
EBIT,249000000.0,219087000.0,331939000.0,274000000.0,226410000.0
Net Interest Income,-139000000.0,-136991000.0,-149711000.0,-154000000.0,-114422000.0
Interest Expense,,107991000.0,141430000.0,,15869000.0
Interest Income,,,9555000.0,,
Normalized Income,73000000.0,98250000.0,123335249.263814,60000000.0,68968000.0
Net Income From Continuing And Discontinued Operation,73000000.0,98250000.0,117063000.0,60000000.0,68968000.0
Total Expenses,1451000000.0,1706283000.0,1541590000.0,1512000000.0,1593799000.0
Total Operating Income As Reported,251000000.0,271087000.0,348855000.0,269000000.0,371859000.0
Diluted Average Shares,680575312.0,,688605882.0,680409104.0,680409104.0
Basic Average Shares,680575312.0,,688605882.0,680409104.0,680409104.0
Diluted EPS,0.107262,,0.17,0.088182,0.101363
Basic EPS,0.107262,,0.17,0.088182,0.101363
Diluted NI Availto Com Stockholders,73000000.0,98250000.0,117063000.0,60000000.0,68968000.0
Net Income Common Stockholders,73000000.0,98250000.0,117063000.0,60000000.0,68968000.0
Net Income,73000000.0,98250000.0,117063000.0,60000000.0,68968000.0
Minority Interests,-15000000.0,-27522000.0,-21318000.0,-33000000.0,-14817000.0
Net Income Including Noncontrolling Interests,88000000.0,125772000.0,138381000.0,92000000.0,83785000.0
Net Income Continuous Operations,88000000.0,125772000.0,138381000.0,92000000.0,83785000.0
Tax Provision,24000000.0,-14676000.0,52128000.0,23000000.0,126756000.0
Pretax Income,112000000.0,111096000.0,190509000.0,115000000.0,210541000.0
Other Income Expense,2000000.0,-27292000.0,-9321000.0,-5000000.0,-57050000.0
Earnings From Equity Interest,2000000.0,-4292000.0,-686000.0,-5000000.0,-10155000.0
Gain On Sale Of Security,,,-8635000.0,,
Net Non Operating Interest Income Expense,-139000000.0,-136991000.0,-149711000.0,-154000000.0,-114422000.0
Total Other Finance Cost,139000000.0,,17836000.0,154000000.0,
Interest Expense Non Operating,,107991000.0,141430000.0,,15869000.0
Interest Income Non Operating,,,9555000.0,,
Operating Income,249000000.0,275377000.0,349541000.0,274000000.0,382014000.0
Operating Expense,371000000.0,411464000.0,394254000.0,421000000.0,384480000.0
Other Operating Expenses,,-570000.0,,,
Depreciation Amortization Depletion Income Statement,,,15305000.0,,
Depreciation And Amortization In Income Statement,,,15305000.0,,
Research And Development,90000000.0,136738000.0,96193000.0,96000000.0,115001000.0
Selling General And Administration,281000000.0,155296000.0,282756000.0,325000000.0,158199000.0
General And Administrative Expense,,,282756000.0,,
Other Gand A,,,155424000.0,,
Salaries And Wages,,,127332000.0,,
Gross Profit,620000000.0,686841000.0,743795000.0,695000000.0,766494000.0
Cost Of Revenue,1080000000.0,1294819000.0,1147336000.0,1091000000.0,1209319000.0
Total Revenue,1700000000.0,1981660000.0,1891131000.0,1786000000.0,1975813000.0
Operating Revenue,1700000000.0,1738660000.0,1891131000.0,1786000000.0,1766581000.0
