,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-218465.0
Net Income From Continuing Operation Net Minority Interest,1124785.0
EBITDA,-218465.0
EBIT,-218465.0
Net Interest Income,1343250.0
Interest Income,1343250.0
Normalized Income,1124785.0
Net Income From Continuing And Discontinued Operation,1124785.0
Total Expenses,218465.0
Total Operating Income As Reported,-218465.0
Diluted NI Availto Com Stockholders,1124785.0
Net Income Common Stockholders,1124785.0
Net Income,1124785.0
Net Income Including Noncontrolling Interests,1124785.0
Net Income Continuous Operations,1124785.0
Pretax Income,1124785.0
Net Non Operating Interest Income Expense,1343250.0
Interest Income Non Operating,1343250.0
Operating Income,-218465.0
Operating Expense,218465.0
Selling General And Administration,218465.0
General And Administrative Expense,218465.0
Other Gand A,218465.0
Total Revenue,0.0
Operating Revenue,0.0
