,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-4617556.0,-3304733.0,-1724807.0,-9392538.0
Total Unusual Items,0.0,0.0,-311560.0,4023860.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-311560.0,4023860.0
Net Income From Continuing Operation Net Minority Interest,-5315872.0,-4573870.0,-2746668.0,-6523286.0
Reconciled Depreciation,145229.0,333174.0,107175.0,431706.0
Reconciled Cost Of Revenue,1359337.0,1715819.0,890109.0,1602664.0
EBITDA,-4617556.0,-3304733.0,-2036367.0,-5368678.0
EBIT,-4762785.0,-3637907.0,-2143542.0,-5800384.0
Net Interest Income,-436043.0,-935963.0,-603126.0,-732472.0
Interest Expense,553087.0,935963.0,603126.0,722902.0
Interest Income,117044.0,0.0,0.0,-9570.0
Normalized Income,-5315872.0,-4573870.0,-2435108.0,-10547146.0
Net Income From Continuing And Discontinued Operation,-5315872.0,-4573870.0,-2746668.0,-6614621.0
Total Expenses,3558891.0,4409131.0,2398336.0,4161908.0
Total Operating Income As Reported,-2507726.0,-3687780.0,-1831982.0,-4684688.0
Diluted Average Shares,41921.0,15345.0,9576.0,
Basic Average Shares,41921.0,15345.0,9576.0,
Diluted EPS,-126.8,-300.8,-288.0,
Basic EPS,-126.8,-300.8,-288.0,
Diluted NI Availto Com Stockholders,-5315872.0,-4573870.0,-2746668.0,-11089623.0
Net Income Common Stockholders,-5315872.0,-4573870.0,-2746668.0,-11089623.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,4475002.0
Net Income,-5315872.0,-4573870.0,-2746668.0,-6614621.0
Net Income Including Noncontrolling Interests,-5315872.0,-4573870.0,-2746668.0,-6614621.0
Net Income Discontinuous Operations,0.0,0.0,0.0,-91335.0
Net Income Continuous Operations,-5315872.0,-4573870.0,-2746668.0,-6523286.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-5315872.0,-4573870.0,-2746668.0,-6523286.0
Other Income Expense,-2372103.0,49873.0,-311560.0,-2672932.0
Other Non Operating Income Expenses,-2372103.0,49873.0,,-80591.0
Special Income Charges,0.0,0.0,0.0,-1566806.0
Gain On Sale Of Business,0.0,0.0,0.0,0.0
Gain On Sale Of Security,,,-311560.0,
Net Non Operating Interest Income Expense,-436043.0,-935963.0,-603126.0,-732472.0
Interest Expense Non Operating,553087.0,935963.0,603126.0,722902.0
Interest Income Non Operating,117044.0,0.0,0.0,-9570.0
Operating Income,-2507726.0,-3687780.0,-1831982.0,-3117882.0
Operating Expense,2199554.0,2693312.0,1508227.0,2559244.0
Selling General And Administration,2199554.0,2693312.0,1508227.0,2559244.0
Selling And Marketing Expense,32780.0,150901.0,6916.0,39654.0
General And Administrative Expense,2166774.0,2542411.0,1501311.0,2519590.0
Other Gand A,1397717.0,1804617.0,945573.0,1552532.0
Salaries And Wages,769057.0,737794.0,555738.0,967058.0
Gross Profit,-308172.0,-994468.0,-323755.0,-558638.0
Cost Of Revenue,1359337.0,1715819.0,890109.0,1602664.0
Total Revenue,1051165.0,721351.0,566354.0,1044026.0
Operating Revenue,946520.0,585196.0,566354.0,1044026.0
