,2025-05-31,2025-02-28
Tax Effect Of Unusual Items,-12471856.0,-10451600.0
Tax Rate For Calcs,0.232,0.232
Normalized EBITDA,-744880000.0,-630120000.0
Total Unusual Items,-53758000.0,-45050000.0
Total Unusual Items Excluding Goodwill,-53758000.0,-45050000.0
Net Income From Continuing Operation Net Minority Interest,-883914000.0,-681729000.0
Reconciled Cost Of Revenue,335118000.0,244797000.0
EBITDA,-798638000.0,-675170000.0
EBIT,-798638000.0,-675170000.0
Net Interest Income,-84703000.0,-3821000.0
Interest Expense,84703000.0,5226000.0
Interest Income,0.0,1405000.0
Normalized Income,-842627856.0,-647130600.0
Net Income From Continuing And Discontinued Operation,-883914000.0,-681729000.0
Total Expenses,1096480000.0,944654000.0
Total Operating Income As Reported,-744165000.0,-631771000.0
Diluted NI Availto Com Stockholders,-883914000.0,-681729000.0
Net Income Common Stockholders,-883914000.0,-681729000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-883914000.0,-681729000.0
Net Income Including Noncontrolling Interests,-883914000.0,-681729000.0
Net Income Continuous Operations,-883913000.0,-681729000.0
Tax Provision,572000.0,1333000.0
Pretax Income,-883341000.0,-680396000.0
Other Non Operating Income Expenses,2772000.0,1444000.0
Special Income Charges,-53758000.0,-45050000.0
Other Special Charges,-345000.0,0.0
Write Off,54103000.0,45050000.0
Net Non Operating Interest Income Expense,-84703000.0,-3821000.0
Total Other Finance Cost,0.0,0.0
Interest Expense Non Operating,84703000.0,5226000.0
Interest Income Non Operating,0.0,1405000.0
Operating Income,-744164000.0,-631772000.0
Operating Expense,761362000.0,699857000.0
Gross Profit,17198000.0,68085000.0
Cost Of Revenue,335118000.0,244797000.0
Total Revenue,352316000.0,312882000.0
Operating Revenue,352316000.0,312882000.0
