,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-4908142.0
Net Income From Continuing Operation Net Minority Interest,-2692419.0
EBITDA,-4908142.0
EBIT,-4908142.0
Net Interest Income,2215723.0
Interest Income,2215723.0
Normalized Income,-2692419.0
Net Income From Continuing And Discontinued Operation,-2692419.0
Total Expenses,4908142.0
Total Operating Income As Reported,-4908142.0
Diluted NI Availto Com Stockholders,-2692419.0
Net Income Common Stockholders,-2692419.0
Net Income,-2692419.0
Net Income Including Noncontrolling Interests,-2692419.0
Net Income Continuous Operations,-2692419.0
Pretax Income,-2692419.0
Net Non Operating Interest Income Expense,2215723.0
Interest Income Non Operating,2215723.0
Operating Income,-4908142.0
Operating Expense,4908142.0
Selling General And Administration,4908142.0
General And Administrative Expense,4908142.0
Other Gand A,4908142.0
Total Revenue,0.0
Operating Revenue,0.0
