,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-223542.0
Net Income From Continuing Operation Net Minority Interest,1843929.0
EBITDA,-223542.0
EBIT,-223542.0
Net Interest Income,2067471.0
Interest Income,2067471.0
Normalized Income,1843929.0
Net Income From Continuing And Discontinued Operation,1843929.0
Total Expenses,223542.0
Total Operating Income As Reported,-223542.0
Diluted NI Availto Com Stockholders,1843929.0
Net Income Common Stockholders,1843929.0
Net Income,1843929.0
Net Income Including Noncontrolling Interests,1843929.0
Net Income Continuous Operations,1843929.0
Pretax Income,1843929.0
Net Non Operating Interest Income Expense,2067471.0
Interest Income Non Operating,2067471.0
Operating Income,-223542.0
Operating Expense,223542.0
Selling General And Administration,223542.0
General And Administrative Expense,223542.0
Other Gand A,223542.0
Total Revenue,0.0
Operating Revenue,0.0
