,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,28586110.246029,25411764.705882,27269587.464023,-3680000.0,18761089.494163,,
Tax Rate For Calcs,0.208658,0.235294,0.267349,0.23,0.223346,,
Normalized EBITDA,3803000000.0,3643000000.0,3728000000.0,3514000000.0,3142000000.0,,
Total Unusual Items,137000000.0,108000000.0,102000000.0,-16000000.0,84000000.0,,
Total Unusual Items Excluding Goodwill,137000000.0,108000000.0,102000000.0,-16000000.0,84000000.0,,
Net Income From Continuing Operation Net Minority Interest,2549000000.0,2402000000.0,2300000000.0,2179000000.0,2003000000.0,,
Reconciled Depreciation,595000000.0,598000000.0,570000000.0,554000000.0,540000000.0,,
Reconciled Cost Of Revenue,11651000000.0,13658000000.0,12019000000.0,11143000000.0,9291000000.0,,
EBITDA,3940000000.0,3751000000.0,3830000000.0,3498000000.0,3226000000.0,,
EBIT,3345000000.0,3153000000.0,3260000000.0,2944000000.0,2686000000.0,,
Net Interest Income,-134000000.0,-127000000.0,-133000000.0,-126000000.0,-116000000.0,,
Interest Expense,134000000.0,127000000.0,133000000.0,126000000.0,116000000.0,,
Interest Income,,,,,,120000000.0,108000000.0
Normalized Income,2440586110.246029,2319411764.705882,2225269587.464023,2191320000.0,1937761089.494163,,
Net Income From Continuing And Discontinued Operation,2549000000.0,2402000000.0,2300000000.0,2179000000.0,2003000000.0,,
Total Expenses,14330000000.0,16473000000.0,14586000000.0,13709000000.0,11670000000.0,,
Total Operating Income As Reported,3085000000.0,2660000000.0,3052000000.0,2860000000.0,2579000000.0,,
Diluted Average Shares,465800000.0,469000000.0,470800000.0,471500000.0,477100000.0,,
Basic Average Shares,463400000.0,466500000.0,468600000.0,469700000.0,474900000.0,,
Diluted EPS,5.47,5.12,4.88,4.62,4.2,,
Basic EPS,5.5,5.15,4.91,4.64,4.22,,
Diluted NI Availto Com Stockholders,2549000000.0,2402000000.0,2300000000.0,2179000000.0,2003000000.0,,
Net Income Common Stockholders,2549000000.0,2402000000.0,2300000000.0,2179000000.0,2003000000.0,,
Net Income,2549000000.0,2402000000.0,2300000000.0,2179000000.0,2003000000.0,,
Minority Interests,1000000.0,1000000.0,1000000.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,2548000000.0,2401000000.0,2299000000.0,2179000000.0,2003000000.0,,
Net Income Continuous Operations,2548000000.0,2401000000.0,2299000000.0,2179000000.0,2003000000.0,,
Earnings From Equity Interest Net Of Tax,7000000.0,87000000.0,8000000.0,7000000.0,7000000.0,,
Tax Provision,670000000.0,712000000.0,836000000.0,646000000.0,574000000.0,,
Pretax Income,3211000000.0,3026000000.0,3127000000.0,2818000000.0,2570000000.0,,
Other Income Expense,260000000.0,493000000.0,208000000.0,84000000.0,107000000.0,,
Other Non Operating Income Expenses,123000000.0,385000000.0,106000000.0,100000000.0,23000000.0,,
Gain On Sale Of Security,137000000.0,108000000.0,102000000.0,-16000000.0,84000000.0,,
Net Non Operating Interest Income Expense,-134000000.0,-127000000.0,-133000000.0,-126000000.0,-116000000.0,,
Interest Expense Non Operating,134000000.0,127000000.0,133000000.0,126000000.0,116000000.0,,
Interest Income Non Operating,,,,,,120000000.0,108000000.0
Operating Income,3085000000.0,2660000000.0,3052000000.0,2860000000.0,2579000000.0,,
Operating Expense,2679000000.0,2815000000.0,2567000000.0,2566000000.0,2379000000.0,,
Other Operating Expenses,326000000.0,377000000.0,190000000.0,321000000.0,306000000.0,,
Research And Development,537000000.0,562000000.0,555000000.0,551000000.0,480000000.0,,
Selling General And Administration,1816000000.0,1876000000.0,1822000000.0,1694000000.0,1593000000.0,,
Gross Profit,5764000000.0,5475000000.0,5619000000.0,5426000000.0,4958000000.0,,
Cost Of Revenue,11651000000.0,13658000000.0,12019000000.0,11143000000.0,9291000000.0,,
Total Revenue,17415000000.0,19133000000.0,17638000000.0,16569000000.0,14249000000.0,,
Operating Revenue,17415000000.0,19133000000.0,17638000000.0,16569000000.0,14249000000.0,,
