,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-32087.0
Net Income From Continuing Operation Net Minority Interest,-32087.0
EBITDA,-32087.0
EBIT,-32087.0
Normalized Income,-32087.0
Net Income From Continuing And Discontinued Operation,-32087.0
Total Expenses,32087.0
Diluted NI Availto Com Stockholders,-32087.0
Net Income Common Stockholders,-32087.0
Net Income,-32087.0
Net Income Including Noncontrolling Interests,-32087.0
Net Income Continuous Operations,-32087.0
Pretax Income,-32087.0
Operating Income,-32087.0
Operating Expense,32087.0
Selling General And Administration,32087.0
General And Administrative Expense,32087.0
Other Gand A,32087.0
Total Revenue,0.0
Operating Revenue,0.0
