,2026-03-31
Tax Effect Of Unusual Items,841705.2
Tax Rate For Calcs,0.4
Normalized EBITDA,-2526309.0
Total Unusual Items,2104263.0
Total Unusual Items Excluding Goodwill,2104263.0
Net Income From Continuing Operation Net Minority Interest,1688089.0
EBITDA,-422046.0
EBIT,-422046.0
Net Interest Income,5872.0
Interest Income,5872.0
Normalized Income,425531.2
Net Income From Continuing And Discontinued Operation,1688089.0
Total Expenses,422046.0
Total Operating Income As Reported,-422046.0
Diluted NI Availto Com Stockholders,1688089.0
Net Income Common Stockholders,1688089.0
Net Income,1688089.0
Net Income Including Noncontrolling Interests,1688089.0
Net Income Continuous Operations,1688089.0
Pretax Income,1688089.0
Other Income Expense,2104263.0
Gain On Sale Of Security,2104263.0
Net Non Operating Interest Income Expense,5872.0
Interest Income Non Operating,5872.0
Operating Income,-422046.0
Operating Expense,422046.0
Selling General And Administration,422046.0
General And Administrative Expense,422046.0
Other Gand A,422046.0
Total Revenue,0.0
Operating Revenue,0.0
