,2026-03-31,2025-12-31,2025-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.0
Normalized EBITDA,-165489.0,-191289.0,-94980.0
Net Income From Continuing Operation Net Minority Interest,973234.0,932905.0,-69568.0
EBITDA,-165489.0,-191289.0,-94980.0
EBIT,-165489.0,-191289.0,-94980.0
Net Interest Income,1138723.0,1124194.0,25412.0
Interest Income,1138723.0,1124194.0,25412.0
Normalized Income,973234.0,932905.0,-69568.0
Net Income From Continuing And Discontinued Operation,973234.0,932905.0,-69568.0
Total Expenses,165489.0,191289.0,94980.0
Total Operating Income As Reported,-165489.0,-191289.0,-94980.0
Diluted Average Shares,15775833.0,,3880256.0
Basic Average Shares,15775833.0,,3880256.0
Diluted EPS,0.06,,-0.02
Basic EPS,0.06,,-0.02
Diluted NI Availto Com Stockholders,973234.0,932905.0,-69568.0
Net Income Common Stockholders,973234.0,932905.0,-69568.0
Net Income,973234.0,932905.0,-69568.0
Net Income Including Noncontrolling Interests,973234.0,932905.0,-69568.0
Net Income Continuous Operations,973234.0,932905.0,-69568.0
Pretax Income,973234.0,932905.0,-69568.0
Net Non Operating Interest Income Expense,1138723.0,1124194.0,25412.0
Interest Income Non Operating,1138723.0,1124194.0,25412.0
Operating Income,-165489.0,-191289.0,-94980.0
Operating Expense,165489.0,191289.0,94980.0
Selling General And Administration,165489.0,191289.0,94980.0
General And Administrative Expense,165489.0,191289.0,94980.0
Other Gand A,165489.0,191289.0,94980.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
