,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-15088.0
Net Income From Continuing Operation Net Minority Interest,-15088.0
EBITDA,-15088.0
EBIT,-15088.0
Normalized Income,-15088.0
Net Income From Continuing And Discontinued Operation,-15088.0
Total Expenses,15088.0
Diluted NI Availto Com Stockholders,-15088.0
Net Income Common Stockholders,-15088.0
Net Income,-15088.0
Net Income Including Noncontrolling Interests,-15088.0
Net Income Continuous Operations,-15088.0
Pretax Income,-15088.0
Operating Income,-15088.0
Operating Expense,15088.0
Selling General And Administration,15088.0
General And Administrative Expense,15088.0
Other Gand A,15088.0
Total Revenue,0.0
Operating Revenue,0.0
