,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-374117.0
Net Income From Continuing Operation Net Minority Interest,1668980.0
EBITDA,-374117.0
EBIT,-374117.0
Net Interest Income,1947947.0
Interest Income,1947947.0
Normalized Income,1668980.0
Net Income From Continuing And Discontinued Operation,1668980.0
Total Expenses,374117.0
Total Operating Income As Reported,-374117.0
Diluted Average Shares,29204283.0
Basic Average Shares,29163065.0
Diluted EPS,0.06
Basic EPS,0.06
Diluted NI Availto Com Stockholders,1668980.0
Net Income Common Stockholders,1668980.0
Net Income,1668980.0
Net Income Including Noncontrolling Interests,1668980.0
Net Income Continuous Operations,1668980.0
Pretax Income,1668980.0
Other Income Expense,95150.0
Other Non Operating Income Expenses,95150.0
Net Non Operating Interest Income Expense,1947947.0
Interest Income Non Operating,1947947.0
Operating Income,-374117.0
Operating Expense,374117.0
Selling General And Administration,374117.0
General And Administrative Expense,374117.0
Other Gand A,374117.0
Total Revenue,0.0
Operating Revenue,0.0
