,2025-08-31
Tax Effect Of Unusual Items,-30628.92
Tax Rate For Calcs,0.21
Total Unusual Items,-145852.0
Total Unusual Items Excluding Goodwill,-145852.0
Net Income From Continuing Operation Net Minority Interest,-145852.0
Normalized Income,-30628.92
Net Income From Continuing And Discontinued Operation,-145852.0
Diluted Average Shares,20274168.0
Basic Average Shares,20274168.0
Diluted EPS,-0.007194
Basic EPS,-0.007194
Diluted NI Availto Com Stockholders,-145852.0
Net Income Common Stockholders,-145852.0
Net Income,-145852.0
Net Income Including Noncontrolling Interests,-145852.0
Net Income Continuous Operations,-145852.0
Special Income Charges,-145852.0
Restructuring And Mergern Acquisition,145852.0
Operating Expense,0.0
