,2026-03-31,2025-09-30
Tax Effect Of Unusual Items,-8978.8,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-16851.0,-29800.0
Total Unusual Items,-22447.0,
Total Unusual Items Excluding Goodwill,-22447.0,
Net Income From Continuing Operation Net Minority Interest,1463066.0,-29800.0
EBITDA,-39298.0,-29800.0
EBIT,-39298.0,-29800.0
Net Interest Income,1524811.0,
Interest Income,1524811.0,
Normalized Income,1476534.2,-29800.0
Net Income From Continuing And Discontinued Operation,1463066.0,-29800.0
Total Expenses,39298.0,29800.0
Total Operating Income As Reported,-39298.0,-29278.0
Diluted Average Shares,23545000.0,21250000.0
Basic Average Shares,23545000.0,21250000.0
Diluted EPS,0.06,-0.001454
Basic EPS,0.06,-0.001454
Diluted NI Availto Com Stockholders,1463066.0,-29800.0
Net Income Common Stockholders,1463066.0,-29800.0
Net Income,1463066.0,-29800.0
Net Income Including Noncontrolling Interests,1463066.0,-29800.0
Net Income Continuous Operations,1463066.0,-29800.0
Pretax Income,1463066.0,-29800.0
Other Income Expense,-22447.0,
Gain On Sale Of Security,-22447.0,
Net Non Operating Interest Income Expense,1524811.0,
Interest Income Non Operating,1524811.0,
Operating Income,-39298.0,-29800.0
Operating Expense,39298.0,29800.0
Selling General And Administration,39298.0,29800.0
General And Administrative Expense,39298.0,29800.0
Other Gand A,39298.0,29278.0
Salaries And Wages,,522.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
