,2026-03-31
Tax Effect Of Unusual Items,14700.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-93437.0
Total Unusual Items,36750.0
Total Unusual Items Excluding Goodwill,36750.0
Net Income From Continuing Operation Net Minority Interest,794187.0
EBITDA,-56687.0
EBIT,-56687.0
Net Interest Income,814124.0
Interest Income,814124.0
Normalized Income,772137.0
Net Income From Continuing And Discontinued Operation,794187.0
Total Expenses,56687.0
Total Operating Income As Reported,-56687.0
Diluted Average Shares,17385833.0
Basic Average Shares,16687917.0
Diluted EPS,0.05
Basic EPS,0.05
Diluted NI Availto Com Stockholders,794187.0
Net Income Common Stockholders,794187.0
Net Income,794187.0
Net Income Including Noncontrolling Interests,794187.0
Net Income Continuous Operations,794187.0
Pretax Income,794187.0
Other Income Expense,36750.0
Gain On Sale Of Security,36750.0
Net Non Operating Interest Income Expense,814124.0
Interest Income Non Operating,814124.0
Operating Income,-56687.0
Operating Expense,56687.0
Selling General And Administration,56687.0
General And Administrative Expense,56687.0
Other Gand A,56687.0
Total Revenue,0.0
Operating Revenue,0.0
