,2024-12-31
Tax Effect Of Unusual Items,-80635500.0
Tax Rate For Calcs,0.25
Normalized EBITDA,-153251000.0
Total Unusual Items,-322542000.0
Total Unusual Items Excluding Goodwill,-322542000.0
Net Income From Continuing Operation Net Minority Interest,-532726000.0
Reconciled Cost Of Revenue,17507000.0
EBITDA,-475793000.0
EBIT,-475793000.0
Net Interest Income,-11224000.0
Interest Expense,9399000.0
Normalized Income,-290819500.0
Net Income From Continuing And Discontinued Operation,-542931000.0
Total Expenses,223426000.0
Total Operating Income As Reported,-480421000.0
Diluted NI Availto Com Stockholders,-542931000.0
Net Income Common Stockholders,-542931000.0
Net Income,-542931000.0
Minority Interests,24000.0
Net Income Including Noncontrolling Interests,-542955000.0
Net Income Discontinuous Operations,-10205000.0
Net Income Continuous Operations,-532750000.0
Tax Provision,47558000.0
Pretax Income,-485192000.0
Other Income Expense,-295786000.0
Other Non Operating Income Expenses,26756000.0
Gain On Sale Of Security,-21621000.0
Net Non Operating Interest Income Expense,-11224000.0
Interest Expense Non Operating,9399000.0
Operating Income,-178182000.0
Operating Expense,205919000.0
Research And Development,4373000.0
Selling General And Administration,201546000.0
Selling And Marketing Expense,49504000.0
General And Administrative Expense,152042000.0
Other Gand A,152042000.0
Gross Profit,27737000.0
Cost Of Revenue,17507000.0
Total Revenue,45244000.0
Operating Revenue,45244000.0
