,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-437000.0
Net Income From Continuing Operation Net Minority Interest,1615000.0
EBITDA,-437000.0
EBIT,-437000.0
Net Interest Income,2052000.0
Interest Income,2052000.0
Normalized Income,1615000.0
Net Income From Continuing And Discontinued Operation,1615000.0
Total Expenses,437000.0
Total Operating Income As Reported,-437000.0
Diluted NI Availto Com Stockholders,1615000.0
Net Income Common Stockholders,1615000.0
Net Income,1615000.0
Net Income Including Noncontrolling Interests,1615000.0
Net Income Continuous Operations,1615000.0
Pretax Income,1615000.0
Net Non Operating Interest Income Expense,2052000.0
Interest Income Non Operating,2052000.0
Operating Income,-437000.0
Operating Expense,437000.0
Selling General And Administration,437000.0
General And Administrative Expense,437000.0
Other Gand A,437000.0
Total Revenue,0.0
Operating Revenue,0.0
