,2025-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,1352000.0
Total Unusual Items,-5855000.0
Total Unusual Items Excluding Goodwill,-5855000.0
Net Income From Continuing Operation Net Minority Interest,-10369000.0
Reconciled Depreciation,0.0
EBITDA,-4503000.0
EBIT,-4503000.0
Net Interest Income,1000.0
Interest Income,1000.0
Normalized Income,-4514000.0
Net Income From Continuing And Discontinued Operation,-10369000.0
Total Expenses,4503000.0
Total Operating Income As Reported,-4503000.0
Diluted Average Shares,2508000.0
Basic Average Shares,2508000.0
Diluted EPS,-4.13
Basic EPS,-4.13
Diluted NI Availto Com Stockholders,-10369000.0
Net Income Common Stockholders,-10369000.0
Net Income,-10369000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,-10369000.0
Net Income Continuous Operations,-10369000.0
Tax Provision,0.0
Pretax Income,-10369000.0
Other Income Expense,-5867000.0
Special Income Charges,-4910000.0
Write Off,4804000.0
Impairment Of Capital Assets,106000.0
Earnings From Equity Interest,-12000.0
Gain On Sale Of Security,-945000.0
Net Non Operating Interest Income Expense,1000.0
Interest Income Non Operating,1000.0
Operating Income,-4503000.0
Operating Expense,4503000.0
Depreciation Amortization Depletion Income Statement,0.0
Depreciation And Amortization In Income Statement,0.0
Depreciation Income Statement,0.0
Research And Development,578000.0
Selling General And Administration,3925000.0
General And Administrative Expense,3925000.0
Other Gand A,3925000.0
Total Revenue,0.0
Operating Revenue,0.0
