,2026-03-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-165217.0
Net Income From Continuing Operation Net Minority Interest,-145685.0
EBITDA,-165217.0
EBIT,-165217.0
Net Interest Income,19532.0
Interest Income,19532.0
Normalized Income,-145685.0
Net Income From Continuing And Discontinued Operation,-145685.0
Total Expenses,165217.0
Total Operating Income As Reported,-165217.0
Diluted Average Shares,5224719.0
Basic Average Shares,5224719.0
Diluted EPS,-0.03
Basic EPS,-0.03
Diluted NI Availto Com Stockholders,-145685.0
Net Income Common Stockholders,-145685.0
Net Income,-145685.0
Net Income Including Noncontrolling Interests,-145685.0
Net Income Continuous Operations,-145685.0
Pretax Income,-145685.0
Net Non Operating Interest Income Expense,19532.0
Interest Income Non Operating,19532.0
Operating Income,-165217.0
Operating Expense,165217.0
Selling General And Administration,165217.0
General And Administrative Expense,165217.0
Other Gand A,165217.0
Total Revenue,0.0
Operating Revenue,0.0
