,2024-12-31
Tax Effect Of Unusual Items,118053.95
Tax Rate For Calcs,0.35
Normalized EBITDA,-1671717.0
Total Unusual Items,337297.0
Total Unusual Items Excluding Goodwill,337297.0
Net Income From Continuing Operation Net Minority Interest,-2427307.0
Reconciled Depreciation,-324607.0
Reconciled Cost Of Revenue,3789918.0
EBITDA,-1334420.0
EBIT,-1482398.0
Net Interest Income,-392797.0
Interest Expense,664020.0
Interest Income,346513.0
Normalized Income,-2646550.05
Net Income From Continuing And Discontinued Operation,-2427307.0
Total Expenses,4702468.0
Total Operating Income As Reported,-2059504.0
Diluted Average Shares,259739.0
Basic Average Shares,259739.0
Diluted EPS,-9.0
Basic EPS,-9.0
Diluted NI Availto Com Stockholders,-2427307.0
Net Income Common Stockholders,-2427307.0
Net Income,-2427307.0
Net Income Including Noncontrolling Interests,-2427307.0
Net Income Continuous Operations,-2427307.0
Tax Provision,280889.0
Pretax Income,-2146418.0
Other Income Expense,305883.0
Other Non Operating Income Expenses,32639.0
Special Income Charges,32639.0
Other Special Charges,-32639.0
Earnings From Equity Interest,-31414.0
Gain On Sale Of Security,304658.0
Net Non Operating Interest Income Expense,-392797.0
Total Other Finance Cost,75290.0
Interest Expense Non Operating,664020.0
Interest Income Non Operating,346513.0
Operating Income,-2059504.0
Operating Expense,1385135.0
Other Operating Expenses,-21033.0
Other Taxes,60636.0
Depreciation Amortization Depletion Income Statement,147978.0
Depreciation And Amortization In Income Statement,147978.0
Amortization,133247.0
Amortization Of Intangibles Income Statement,133247.0
Depreciation Income Statement,14731.0
Research And Development,298003.0
Selling General And Administration,899551.0
Selling And Marketing Expense,151319.0
General And Administrative Expense,748232.0
Other Gand A,732137.0
Insurance And Claims,254398.0
Salaries And Wages,-238303.0
Gross Profit,-674369.0
Cost Of Revenue,3317333.0
Total Revenue,2642964.0
Operating Revenue,2642964.0
