,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-5924.4,0.0
Tax Rate For Calcs,0.3,0.0
Normalized EBITDA,-82178.0,42157.0
Total Unusual Items,-19748.0,43536.0
Total Unusual Items Excluding Goodwill,-19748.0,43536.0
Net Income From Continuing Operation Net Minority Interest,-559758.0,-328299.0
Reconciled Depreciation,28123.0,28122.0
Reconciled Cost Of Revenue,8864653.0,9199857.0
EBITDA,-101926.0,85693.0
EBIT,-266155.0,-78534.0
Net Interest Income,-451490.0,-377903.0
Interest Expense,315384.0,241798.0
Normalized Income,-545934.4,-371835.0
Net Income From Continuing And Discontinued Operation,-559758.0,-328299.0
Total Expenses,9563253.0,10390816.0
Rent Expense Supplemental,156361.0,154104.0
Total Operating Income As Reported,-110301.0,9522.0
Diluted NI Availto Com Stockholders,-559758.0,-328299.0
Net Income Common Stockholders,-559758.0,-328299.0
Net Income,-559758.0,-328299.0
Minority Interests,70875.0,-7967.0
Net Income Including Noncontrolling Interests,-630633.0,-320332.0
Net Income Continuous Operations,-630633.0,-320332.0
Tax Provision,49094.0,0.0
Pretax Income,-581539.0,-320332.0
Other Income Expense,2976.0,43536.0
Other Non Operating Income Expenses,22724.0,
Special Income Charges,,-4513.0
Write Off,,4513.0
Gain On Sale Of Security,-19748.0,48049.0
Net Non Operating Interest Income Expense,-451490.0,-377903.0
Total Other Finance Cost,136106.0,136105.0
Interest Expense Non Operating,315384.0,241798.0
Operating Income,-133025.0,14035.0
Operating Expense,698600.0,1190959.0
Other Operating Expenses,,-31155.0
Depreciation Amortization Depletion Income Statement,28123.0,28122.0
Depreciation And Amortization In Income Statement,28123.0,28122.0
Depreciation Income Statement,28123.0,28122.0
Selling General And Administration,670477.0,1193992.0
Selling And Marketing Expense,55505.0,80676.0
General And Administrative Expense,614972.0,1113316.0
Other Gand A,439850.0,953913.0
Insurance And Claims,124099.0,119336.0
Rent And Landing Fees,8650.0,2181.0
Salaries And Wages,42373.0,37886.0
Gross Profit,565575.0,1204994.0
Cost Of Revenue,8864653.0,9199857.0
Total Revenue,9430228.0,10404851.0
Operating Revenue,9430228.0,10404851.0
