,2026-03-31
Tax Effect Of Unusual Items,784890.0
Tax Rate For Calcs,0.4
Normalized EBITDA,-2242897.0
Total Unusual Items,1962225.0
Total Unusual Items Excluding Goodwill,1962225.0
Net Income From Continuing Operation Net Minority Interest,1681553.0
EBITDA,-280672.0
EBIT,-280672.0
Normalized Income,504218.0
Net Income From Continuing And Discontinued Operation,1681553.0
Total Expenses,280672.0
Total Operating Income As Reported,-280672.0
Diluted NI Availto Com Stockholders,1681553.0
Net Income Common Stockholders,1681553.0
Net Income,1681553.0
Net Income Including Noncontrolling Interests,1681553.0
Net Income Continuous Operations,1681553.0
Pretax Income,1681553.0
Other Income Expense,1962225.0
Gain On Sale Of Security,1962225.0
Operating Income,-280672.0
Operating Expense,280672.0
Selling General And Administration,280672.0
General And Administrative Expense,280672.0
Other Gand A,280672.0
Total Revenue,0.0
Operating Revenue,0.0
