,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.249675,0.213472,0.225121,0.244037
Net Income From Continuing Operation Net Minority Interest,577000.0,3316000.0,802000.0,412000.0
Reconciled Depreciation,97000.0,103000.0,77000.0,69000.0
EBIT,1548000.0,4989000.0,1809000.0,1373000.0
Net Interest Income,-779000.0,-773000.0,-774000.0,-828000.0
Interest Expense,779000.0,773000.0,774000.0,828000.0
Normalized Income,577000.0,3316000.0,802000.0,412000.0
Net Income From Continuing And Discontinued Operation,577000.0,3316000.0,802000.0,412000.0
Total Expenses,52991000.0,51074000.0,49090000.0,48498000.0
Diluted Average Shares,20397000.0,22106667.0,20400000.0,20600000.0
Basic Average Shares,20397000.0,20725000.0,20400000.0,20600000.0
Diluted EPS,0.02,0.15,0.03,0.02
Basic EPS,0.02,0.16,0.03,0.02
Diluted NI Availto Com Stockholders,477000.0,3216000.0,703000.0,312000.0
Net Income Common Stockholders,477000.0,3216000.0,703000.0,312000.0
Preferred Stock Dividends,100000.0,100000.0,99000.0,100000.0
Net Income,577000.0,3316000.0,802000.0,412000.0
Net Income Including Noncontrolling Interests,577000.0,3316000.0,802000.0,412000.0
Net Income Continuous Operations,577000.0,3316000.0,802000.0,412000.0
Tax Provision,192000.0,900000.0,233000.0,133000.0
Pretax Income,769000.0,4216000.0,1035000.0,545000.0
Other Income Expense,1000.0,3000.0,3000.0,3000.0
Net Non Operating Interest Income Expense,-779000.0,-773000.0,-774000.0,-828000.0
Interest Expense Non Operating,779000.0,773000.0,774000.0,828000.0
Other Operating Expenses,3786000.0,3784000.0,4723000.0,4041000.0
Total Revenue,53760000.0,55290000.0,50125000.0,49043000.0
Operating Revenue,53760000.0,55290000.0,50125000.0,49043000.0
Loss Adjustment Expense,35471000.0,33647000.0,31913000.0,31339000.0
Net Policyholder Benefits And Claims,35471000.0,33647000.0,31913000.0,31339000.0
